id;code;date;details;status;payment_method;payment_date;payment_amount;order_id
1;Interactions;2019-09-13T13:54:26;navigate repurpose;ISSUED;CASH_ON_DELIVERY;2019-09-13T15:49:08;33025;1
2;supply-chains;2019-09-14T07:28:58;grow;CANCELLED;CASH_ON_DELIVERY;2019-09-14T07:52:16;96217;2
3;grow asymmetric;2019-09-13T16:43:30;Mandatory Assistant;PAID;CASH_ON_DELIVERY;2019-09-13T13:44:25;91911;3
4;Optional;2019-09-13T20:52:53;Sleek Tuna magenta;PAID;PAYPAL;2019-09-13T19:52:51;4544;4
5;web-enabled Brand Regional;2019-09-14T02:38:08;Money Market Account;PAID;PAYPAL;2019-09-13T23:33:49;26593;5
6;holistic;2019-09-14T07:19:56;Ridges Beauty dynamic;PAID;CREDIT_CARD;2019-09-14T11:44:32;82253;6
7;Group hard drive Personal Loan Account;2019-09-14T03:32:00;Accountability;CANCELLED;CASH_ON_DELIVERY;2019-09-13T23:18:44;74957;7
8;redefine transmitting;2019-09-13T23:54:48;Practical Steel Shirt Plastic Movies;CANCELLED;CREDIT_CARD;2019-09-13T23:31:39;76898;8
9;Accounts navigating Ergonomic;2019-09-14T02:45:29;Concrete;ISSUED;CASH_ON_DELIVERY;2019-09-13T21:27:13;49816;9
10;Springs connecting;2019-09-14T06:11:04;connecting Planner Refined;CANCELLED;CASH_ON_DELIVERY;2019-09-13T15:53:44;13637;10
