id;placed_date;status;code;customer_id
1;2019-09-13T21:09:22;PENDING;invoice Outdoors New York;1
2;2019-09-13T15:00:21;COMPLETED;haptic parsing;2
3;2019-09-13T22:32:55;COMPLETED;black;3
4;2019-09-14T11:54:23;CANCELLED;Ergonomic Rubber Chicken;4
5;2019-09-14T05:29:38;COMPLETED;quantifying Garden;5
6;2019-09-13T18:01:26;CANCELLED;Solomon Islands Dollar;6
7;2019-09-14T05:12:40;COMPLETED;intermediate Table quantify;7
8;2019-09-13T18:12:26;COMPLETED;Robust Louisiana;8
9;2019-09-13T16:45:38;COMPLETED;compress Fantastic Global;9
10;2019-09-14T01:26:42;COMPLETED;Fantastic Small Frozen Salad bypassing;10
