id;tracking_code;date;details;invoice_id
1;Industrial seamless;2019-09-13T23:24:48;mesh partnerships;1
2;array Luxembourg Spurs;2019-09-13T15:43:12;middleware Switzerland;2
3;Data Granite Configuration;2019-09-14T01:45:38;Business-focused Canyon Orchestrator;3
4;frictionless orchid;2019-09-13T23:39:35;robust;4
5;Granite Rubber;2019-09-14T09:55:32;Metal deposit;5
6;Rupiah;2019-09-14T03:41:29;RSS Buckinghamshire Officer;6
7;teal Licensed Wooden Pants;2019-09-14T06:53:06;Chair Awesome;7
8;Kiribati;2019-09-14T05:01:39;Regional;8
9;Bedfordshire;2019-09-13T21:00:07;Ergonomic Soft Shoes;9
10;Bulgarian Lev Cambridgeshire;2019-09-14T09:48:13;streamline Home SAS;10
